problem_type,problem_name,difficulty,skills,max_score
algorithms,day-of-the-programmer,Easy,Basic,15 
algorithms,solve-me-first,Easy,Basic,1 
algorithms,simple-array-sum,Easy,Basic,10 
algorithms,compare-the-triplets,Easy,Basic,10 
algorithms,a-very-big-sum,Easy,Basic,10 
algorithms,diagonal-difference,Easy,Basic,10 
algorithms,plus-minus,Easy,Basic,10 
algorithms,staircase,Easy,Basic,10 
algorithms,mini-max-sum,Easy,Basic,10 
algorithms,birthday-cake-candles,Easy,Basic,10 
algorithms,time-conversion,Easy,Basic,15 
algorithms,grading,Easy,Basic,10 
algorithms,apple-and-orange,Easy,Basic,10 
algorithms,kangaroo,Easy,Basic,10 
algorithms,between-two-sets,Easy,Basic,10 
algorithms,breaking-best-and-worst-records,Easy,Basic,10 
algorithms,the-birthday-bar,Easy,Basic,10 
algorithms,divisible-sum-pairs,Easy,Basic,10 
algorithms,migratory-birds,Easy,Basic,10 
algorithms,bon-appetit,Easy,Basic,10 
algorithms,sock-merchant,Easy,Basic,10 
algorithms,drawing-book,Easy,Basic,10 
algorithms,counting-valleys,Easy,Basic,15 
algorithms,electronics-shop,Easy,Basic,15 
algorithms,cats-and-a-mouse,Easy,Basic,15 
algorithms,magic-square-forming,Medium,Basic,20 
algorithms,picking-numbers,Easy,Basic,20 
algorithms,climbing-the-leaderboard,Medium,Basic,20 
algorithms,the-hurdle-race,Easy,Basic,15 
algorithms,designer-pdf-viewer,Easy,Basic,20 
algorithms,utopian-tree,Easy,Basic,20 
algorithms,angry-professor,Easy,Basic,20 
algorithms,beautiful-days-at-the-movies,Easy,Basic,15 
algorithms,strange-advertising,Easy,Basic,15 
algorithms,save-the-prisoner,Easy,Basic,15 
algorithms,circular-array-rotation,Easy,Basic,20 
algorithms,permutation-equation,Easy,Basic,20 
algorithms,jumping-on-the-clouds-revisited,Easy,Basic,15 
algorithms,find-digits,Easy,Basic,25 
algorithms,extra-long-factorials,Medium,Intermediate,20 
algorithms,append-and-delete,Easy,Basic,20 
algorithms,sherlock-and-squares,Easy,Basic,20 
algorithms,library-fine,Easy,Basic,15 
algorithms,cut-the-sticks,Easy,Basic,25 
algorithms,non-divisible-subset,Medium,Intermediate,20 
algorithms,repeated-string,Easy,Basic,20 
algorithms,jumping-on-the-clouds,Easy,Basic,20 
algorithms,equality-in-a-array,Easy,Basic,20 
algorithms,queens-attack-2,Medium,Intermediate,30 
algorithms,acm-icpc-team,Easy,Basic,25 
algorithms,taum-and-bday,Easy,Basic,25 
algorithms,organizing-containers-of-balls,Medium,Basic,30 
algorithms,encryption,Medium,Basic,30 
algorithms,bigger-is-greater,Medium,Intermediate,35 
algorithms,kaprekar-numbers,Easy,Basic,30 
algorithms,beautiful-triplets,Easy,Basic,20 
algorithms,minimum-distances,Easy,Basic,20 
algorithms,halloween-sale,Easy,Basic,20 
algorithms,the-time-in-words,Medium,Basic,25 
algorithms,chocolate-feast,Easy,Basic,25 
algorithms,service-lane,Easy,Basic,20 
algorithms,lisa-workbook,Easy,Basic,25 
algorithms,flatland-space-stations,Easy,Intermediate,25 
algorithms,fair-rations,Easy,Basic,25 
algorithms,cavity-map,Easy,Basic,30 
algorithms,manasa-and-stones,Easy,Basic,30 
algorithms,the-grid-search,Medium,Basic,30 
algorithms,happy-ladybugs,Easy,Basic,30 
algorithms,strange-code,Easy,Basic,30 
algorithms,3d-surface-area,Medium,Intermediate,30 
algorithms,absolute-permutation,Medium,Intermediate,40 
algorithms,bomber-man,Medium,Basic,40 
algorithms,two-pluses,Medium,Basic,40 
algorithms,larrys-array,Medium,Intermediate,40 
algorithms,almost-sorted,Medium,Intermediate,50 
algorithms,matrix-rotation-algo,Hard,Intermediate,80 
algorithms,big-sorting,Easy,Basic,20 
algorithms,reduced-string,Easy,Intermediate,10 
algorithms,tutorial-intro,Easy,Basic,30 
algorithms,camelcase,Easy,Basic,15 
algorithms,insertionsort1,Easy,Basic,30 
algorithms,strong-password,Easy,Basic,15 
algorithms,two-characters,Easy,Intermediate,20 
algorithms,insertionsort2,Easy,Basic,30 
algorithms,correctness-invariant,Easy,Basic,30 
algorithms,caesar-cipher-1,Easy,Basic,15 
algorithms,mars-exploration,Easy,Basic,15 
algorithms,runningtime,Easy,Basic,30 
algorithms,hackerrank-in-a-string,Easy,Basic,20 
algorithms,quicksort1,Easy,Basic,10 
algorithms,pangrams,Easy,Basic,20 
algorithms,weighted-uniform-string,Easy,Intermediate,20 
algorithms,separate-the-numbers,Easy,Basic,20 
algorithms,funny-string,Easy,Basic,25 
algorithms,countingsort1,Easy,Basic,30 
algorithms,countingsort2,Easy,Basic,30 
algorithms,gem-stones,Easy,Basic,20 
algorithms,alternating-characters,Easy,Basic,20 
algorithms,countingsort4,Medium,Basic,40 
algorithms,beautiful-binary-string,Easy,Basic,20 
algorithms,closest-numbers,Easy,Basic,35 
algorithms,the-love-letter-mystery,Easy,Basic,20 
algorithms,find-the-median,Easy,Basic,35 
algorithms,determining-dna-health,Hard,Advanced,50 
algorithms,insertion-sort,Advanced,Advanced,50 
algorithms,palindrome-index,Easy,Basic,25 
algorithms,fraudulent-activity-notifications,Medium,Intermediate,40 
algorithms,anagram,Easy,Basic,25 
algorithms,making-anagrams,Easy,Basic,30 
algorithms,lilys-homework,Medium,Intermediate,40 
algorithms,game-of-thrones,Easy,Basic,30 
algorithms,two-strings,Easy,Basic,25 
algorithms,string-construction,Easy,Basic,25 
algorithms,sherlock-and-valid-string,Medium,Basic,35 
algorithms,richie-rich,Medium,Intermediate,30 
algorithms,maximum-palindromes,Medium,Intermediate,40 
algorithms,sherlock-and-anagrams,Medium,Intermediate,50 
algorithms,common-child,Medium,Intermediate,60 
algorithms,bear-and-steady-gene,Medium,Advanced,50 
algorithms,morgan-and-a-string,Expert,Advanced,100 
algorithms,count-strings,Hard,Null,80 
algorithms,string-function-calculation,Advanced,Null,80 
algorithms,challenging-palindromes,Advanced,Null,80 
algorithms,build-a-string,Hard,Null,80 
algorithms,gridland-provinces,Hard,Null,80 
algorithms,cards-permutation,Expert,Null,85 
algorithms,ashton-and-string,Advanced,Null,100 
algorithms,string-similarity,Expert,Advanced,100 
algorithms,super-functional-strings,Advanced,Null,80 
algorithms,circular-palindromes,Advanced,Null,120 
algorithms,similar-strings,Advanced,Null,85 
algorithms,save-humanity,Expert,Null,100 
algorithms,find-strings,Expert,Null,100 
algorithms,palindromic-border,Expert,Null,100 
algorithms,two-two,Advanced,Null,150 
algorithms,two-strings-game,Expert,Null,100 
algorithms,letter-islands,Expert,Null,100 
algorithms,pseudo-isomorphic-substrings,Expert,Null,100 
algorithms,how-many-substrings,Expert,Null,100 
algorithms,hackerland-radio-transmitters,Medium,Intermediate,25 
algorithms,gridland-metro,Medium,Intermediate,25 
algorithms,icecream-parlor,Easy,Intermediate,30 
algorithms,knightl-on-chessboard,Medium,Null,35 
algorithms,minimum-loss,Medium,Advanced,35 
algorithms,missing-numbers,Easy,Basic,45 
algorithms,pairs,Medium,Intermediate,50 
algorithms,sherlock-and-array,Easy,Basic,40 
algorithms,maximum-subarray-sum,Hard,Intermediate,65 
algorithms,connected-cell-in-a-grid,Medium,Advanced,50 
algorithms,short-palindrome,Medium,Advanced,40 
algorithms,maximizing-mission-points,Hard,Null,70 
algorithms,count-luck,Medium,Null,50 
algorithms,cut-the-tree,Medium,Null,50 
algorithms,making-candies,Hard,Intermediate,45 
algorithms,gena,Medium,Advanced,50 
algorithms,xor-quadruples,Medium,Null,50 
algorithms,red-knights-shortest-path,Medium,Null,60 
algorithms,bike-racers,Hard,Null,65 
algorithms,task-scheduling,Advanced,Null,70 
algorithms,similarpair,Advanced,Null,70 
algorithms,playing-with-numbers,Hard,Null,70 
algorithms,almost-integer-rock-garden,Expert,Null,80 
algorithms,sorted-subsegments,Hard,Null,80 
algorithms,distant-pairs,Expert,Null,80 
algorithms,king-richards-knights,Hard,Null,80 
algorithms,frog-in-maze,Hard,Null,65 
algorithms,torque-and-development,Medium,Advanced,30 
algorithms,journey-to-the-moon,Medium,Advanced,50 
algorithms,synchronous-shopping,Medium,Null,40 
algorithms,subset-component,Hard,Advanced,50 
algorithms,bfsshortreach,Medium,Advanced,55 
algorithms,kruskalmstrsub,Medium,Advanced,50 
algorithms,even-tree,Medium,Advanced,50 
algorithms,the-quickest-way-up,Medium,Advanced,50 
algorithms,dijkstrashortreach,Hard,Advanced,60 
algorithms,the-story-of-a-tree,Medium,Null,50 
algorithms,primsmstsub,Medium,Advanced,60 
algorithms,toll-cost-digits,Hard,Null,60 
algorithms,real-estate-broker,Hard,Null,60 
algorithms,clique,Medium,Null,60 
algorithms,beautiful-path,Medium,Null,50 
algorithms,borrowing-money,Hard,Null,50 
algorithms,value-of-friendship,Hard,Null,55 
algorithms,coprime-paths,Expert,Null,80 
algorithms,minimum-mst-graph,Expert,Null,80 
algorithms,jack-goes-to-rapture,Medium,Advanced,80 
algorithms,crab-graphs,Medium,Null,50 
algorithms,beadornaments,Advanced,Advanced,70 
algorithms,jeanies-route,Medium,Null,80 
algorithms,floyd-city-of-blinding-lights,Hard,Advanced,75 
algorithms,johnland,Medium,Null,60 
algorithms,kingdom-connectivity,Hard,Null,75 
algorithms,computer-game,Hard,Null,80 
algorithms,rust-murderer,Medium,Null,70 
algorithms,problem-solving,Hard,Null,80 
algorithms,journey-scheduling,Hard,Null,75 
algorithms,matrix,Hard,Null,70 
algorithms,episode-recording,Hard,Null,70 
algorithms,repair-roads,Hard,Null,80 
algorithms,kth-ancestor,Hard,Null,90 
algorithms,bytelandian-tours,Hard,Null,90 
algorithms,shortest-path,Hard,Null,75 
algorithms,savita-and-friends,Hard,Null,90 
algorithms,liars,Advanced,Null,85 
algorithms,jumping-rooks,Advanced,Null,80 
algorithms,tripartite-matching,Hard,Null,80 
algorithms,tree-flow,Hard,Null,80 
algorithms,dag-queries,Expert,Null,80 
algorithms,favourite-sequence,Advanced,Null,95 
algorithms,cat-jogging,Advanced,Null,80 
algorithms,quadrant-queries,Advanced,Null,100 
algorithms,hacker-country,Hard,Null,100 
algorithms,missile-defend,Hard,Null,100 
algorithms,huarongdao,Expert,Null,100 
algorithms,training-the-army,Hard,Null,120 
algorithms,jim-and-his-lan-party,Hard,Null,80 
algorithms,travel-in-hackerland,Hard,Null,80 
algorithms,alex-vs-fedor,Expert,Null,150 
algorithms,vertical-paths,Expert,Null,100 
algorithms,drive,Expert,Null,90 
algorithms,tsp-grid,Expert,Null,100 
algorithms,road-network,Expert,Null,90 
algorithms,going-office,Expert,Null,100 
algorithms,tree-splitting,Advanced,Null,100 
algorithms,ticket,Expert,Null,100 
algorithms,dfs-edges,Expert,Null,100 
algorithms,diameter-minimization,Expert,Null,100 
algorithms,airports,Expert,Null,100 
algorithms,definite-random-walks,Expert,Null,100 
algorithms,minimum-absolute-difference-in-an-array,Easy,Basic,15 
algorithms,marcs-cakewalk,Easy,Basic,15 
algorithms,grid-challenge,Easy,Basic,20 
algorithms,luck-balance,Easy,Basic,20 
algorithms,maximum-perimeter-triangle,Easy,Basic,20 
algorithms,beautiful-pairs,Easy,Intermediate,30 
algorithms,candies,Medium,Basic,50 
algorithms,sherlock-and-the-beast,Easy,Basic,30 
algorithms,priyanka-and-toys,Easy,Basic,30 
algorithms,largest-permutation,Easy,Basic,30 
algorithms,mark-and-toys,Easy,Basic,35 
algorithms,greedy-florist,Medium,Basic,35 
algorithms,angry-children,Medium,Basic,35 
algorithms,jim-and-the-orders,Easy,Basic,40 
algorithms,two-arrays,Easy,Basic,40 
algorithms,board-cutting,Hard,Intermediate,60 
algorithms,reverse-shuffle-merge,Advanced,Advanced,50 
algorithms,pylons,Medium,Basic,40 
algorithms,cloudy-day,Medium,Null,45 
algorithms,chief-hopper,Hard,Intermediate,65 
algorithms,sherlock-and-minimax,Hard,Intermediate,70 
algorithms,accessory-collection,Hard,Null,60 
algorithms,team-formation,Advanced,Null,70 
algorithms,fighting-pits,Hard,Null,80 
algorithms,lena-sort,Medium,Null,30 
algorithms,coin-change,Medium,Intermediate,60 
algorithms,equal,Medium,Intermediate,30 
algorithms,flipping-the-matrix,Medium,Basic,30 
algorithms,sherlock-and-cost,Medium,Intermediate,50 
algorithms,an-interesting-game-1,Medium,Basic,35 
algorithms,new-year-chaos,Medium,Basic,40 
algorithms,construct-the-array,Medium,Intermediate,35 
algorithms,bonetrousle,Medium,Null,50 
algorithms,kingdom-division,Medium,Null,50 
algorithms,kmp-problem,Hard,Null,60 
algorithms,sam-and-substrings,Medium,Intermediate,40 
algorithms,beautiful-3-set,Hard,Null,60 
algorithms,fibonacci-modified,Medium,Basic,45 
algorithms,inverse-rmq,Hard,Null,60 
algorithms,abbr,Medium,Advanced,40 
algorithms,two-subarrays,Expert,Null,70 
algorithms,prime-xor,Medium,Null,50 
algorithms,lovely-triplets,Advanced,Null,80 
algorithms,array-construction,Advanced,Null,80 
algorithms,decibinary-numbers,Hard,Null,60 
algorithms,fair-cut,Medium,Null,40 
algorithms,maxsubarray,Medium,Intermediate,50 
algorithms,angry-children-2,Hard,Null,50 
algorithms,sherlocks-array-merging-algorithm,Hard,Null,60 
algorithms,prime-digit-sums,Medium,Null,50 
algorithms,hr-city,Medium,Null,50 
algorithms,summing-pieces,Medium,Null,40 
algorithms,mr-k-marsh,Medium,Null,40 
algorithms,substring-diff,Medium,Null,60 
algorithms,xor-and-sum,Medium,Null,50 
algorithms,lego-blocks,Medium,Intermediate,50 
algorithms,brick-tiling,Hard,Null,60 
algorithms,alien-languages,Hard,Null,60 
algorithms,stockmax,Medium,Intermediate,50 
algorithms,two-robots,Medium,Null,50 
algorithms,cuttree,Medium,Null,40 
algorithms,taras-beautiful-permutations,Hard,Null,70 
algorithms,wet-shark-and-two-subsequences,Medium,Null,80 
algorithms,array-splitting,Medium,Null,50 
algorithms,choosing-white-balls,Hard,Null,60 
algorithms,mandragora,Medium,Null,50 
algorithms,red-john-is-back,Medium,Intermediate,65 
algorithms,tutzki-and-lcs,Medium,Null,50 
algorithms,grid-walking,Medium,Null,55 
algorithms,matrix-land,Hard,Null,55 
algorithms,unbounded-knapsack,Medium,Intermediate,60 
algorithms,play-game,Medium,Null,55 
algorithms,longest-increasing-subsequent,Advanced,Advanced,60 
algorithms,coin-on-the-table,Medium,Null,65 
algorithms,dynamic-programming-classics-the-longest-common-subsequence,Medium,Advanced,55 
algorithms,strplay,Medium,Null,65 
algorithms,black-n-white-tree-1,Hard,Null,80 
algorithms,counting-special-sub-cubes,Medium,Null,50 
algorithms,interval-selection,Medium,Null,65 
algorithms,string-reduction,Hard,Null,70 
algorithms,far-vertices,Hard,Null,70 
algorithms,counting-road-networks,Expert,Null,90 
algorithms,superman-celebrates-diwali,Hard,Null,80 
algorithms,hexagonal-grid,Hard,Null,70 
algorithms,queens-on-board,Hard,Null,70 
algorithms,shashank-and-palindromic-strings,Advanced,Null,60 
algorithms,points-in-a-plane,Advanced,Null,80 
algorithms,turn-off-the-lights,Hard,Null,70 
algorithms,animal-transport,Hard,Null,70 
algorithms,the-indian-job,Medium,Null,70 
algorithms,requirement,Advanced,Null,80 
algorithms,a-super-hero,Hard,Null,80 
algorithms,clues-on-a-binary-path,Hard,Null,60 
algorithms,road-maintenance,Hard,Null,100 
algorithms,billboards,Advanced,Null,80 
algorithms,beautiful-string,Hard,Null,80 
algorithms,covering-the-stains,Hard,Null,80 
algorithms,gcd-matrix,Hard,Null,60 
algorithms,fairy-chess,Advanced,Null,80 
algorithms,suffix-rotation,Expert,Null,80 
algorithms,newyear-present,Hard,Null,80 
algorithms,travel-around-the-world,Medium,Null,120 
algorithms,longest-palindromic-subsequence,Hard,Null,70 
algorithms,candles-2,Medium,Null,85 
algorithms,hyper-strings,Advanced,Null,90 
algorithms,swappermutation,Medium,Null,85 
algorithms,extremum-permutations,Medium,Null,100 
algorithms,square-subsequences,Hard,Null,90 
algorithms,dorsey-thief,Advanced,Null,85 
algorithms,mining,Advanced,Null,75 
algorithms,police-operation,Hard,Null,100 
algorithms,zurikela,Hard,Null,80 
algorithms,modify-the-sequence,Advanced,Null,100 
algorithms,longest-mod-path,Hard,Null,80 
algorithms,p-sequences,Hard,Null,100 
algorithms,robot,Advanced,Null,120 
algorithms,lucky-numbers,Expert,Null,100 
algorithms,unfair-game,Advanced,Null,100 
algorithms,oil-well,Hard,Null,100 
algorithms,find-the-seed,Advanced,Null,100 
algorithms,the-blacklist,Advanced,Null,100 
algorithms,tree-pruning,Advanced,Null,100 
algorithms,ones-and-twos,Hard,Null,100 
algorithms,count-scorecards,Expert,Null,100 
algorithms,vim-war,Advanced,Null,120 
algorithms,best-spot,Advanced,Null,100 
algorithms,divisible-numbers,Expert,Null,100 
algorithms,unique-divide-and-conquer,Advanced,Null,90 
algorithms,happy-king,Expert,Null,100 
algorithms,dortmund-dilemma,Advanced,Null,150 
algorithms,super-kth-lis,Advanced,Null,90 
algorithms,count-ways-1,Expert,Null,100 
algorithms,hard-drive-disks,Expert,Null,100 
algorithms,separate-the-chocolate,Expert,Null,250 
algorithms,lonely-integer,Easy,Basic,20 
algorithms,maximizing-xor,Easy,Basic,30 
algorithms,counter-game,Medium,Basic,30 
algorithms,xor-se,Medium,Intermediate,40 
algorithms,sum-vs-xor,Easy,Basic,25 
algorithms,the-great-xor,Medium,Null,25 
algorithms,flipping-bits,Easy,Basic,40 
algorithms,yet-another-minimax-problem,Medium,Null,30 
algorithms,sansa-and-xor,Medium,Basic,30 
algorithms,and-product,Medium,Basic,40 
algorithms,winning-lottery-ticket,Medium,Null,40 
algorithms,xoring-ninja,Hard,Null,55 
algorithms,cipher,Medium,Null,50 
algorithms,xor-matrix,Hard,Null,50 
algorithms,whats-next,Medium,Null,50 
algorithms,string-transmission,Hard,Null,60 
algorithms,aorb,Medium,Null,50 
algorithms,manipulative-numbers,Hard,Null,55 
algorithms,stonegame,Hard,Null,70 
algorithms,2s-complement,Advanced,Null,70 
algorithms,changing-bits,Advanced,Null,70 
algorithms,xor-key,Advanced,Null,80 
algorithms,maximizing-the-function,Hard,Null,70 
algorithms,xor-subsequence,Advanced,Null,80 
algorithms,iterate-it,Expert,Null,90 
algorithms,hamming-distance,Expert,Null,150 
algorithms,pmix,Hard,Null,80 
algorithms,the-power-sum,Medium,Intermediate,20 
algorithms,crossword-puzzle,Medium,Null,30 
algorithms,recursive-digit-sum,Medium,Basic,30 
algorithms,simplified-chess-engine,Medium,Null,40 
algorithms,password-cracker,Medium,Null,40 
algorithms,arithmetic-expressions,Hard,Null,40 
algorithms,stone-division-2,Medium,Null,50 
algorithms,k-factorization,Hard,Null,50 
algorithms,bowling-pins,Hard,Null,60 
algorithms,simplified-chess-engine-ii,Hard,Null,60 
algorithms,repeat-k-sums,Advanced,Null,150 
algorithms,game-of-stones-1,Easy,Basic,15 
algorithms,tower-breakers-1,Easy,Basic,15 
algorithms,a-chessboard-game-1,Easy,Null,15 
algorithms,nim-game-1,Easy,Null,15 
algorithms,misere-nim-1,Easy,Basic,20 
algorithms,nimble-game-1,Easy,Null,20 
algorithms,alice-and-bobs-silly-game,Medium,Null,30 
algorithms,poker-nim-1,Easy,Null,20 
algorithms,tower-breakers-revisited-1,Medium,Null,25 
algorithms,tower-breakers-again-1,Medium,Null,30 
algorithms,zero-move-nim,Medium,Null,50 
algorithms,chessboard-game-again-1,Medium,Null,30 
algorithms,digits-square-board-1,Medium,Null,35 
algorithms,fun-game-1,Medium,Null,40 
algorithms,stone-division,Hard,Null,50 
algorithms,chocolate-in-box,Medium,Null,70 
algorithms,kitty-and-katty,Medium,Null,80 
algorithms,powers-game-1,Medium,Null,50 
algorithms,deforestation-1,Medium,Null,50 
algorithms,bob-and-ben,Medium,Null,50 
algorithms,tower-breakers-the-final-battle-1,Medium,Null,50 
algorithms,simple-game,Hard,Null,60 
algorithms,permutation-game,Medium,Intermediate,70 
algorithms,move-the-coins,Hard,Null,60 
algorithms,benders-play,Medium,Null,70 
algorithms,newyear-game,Medium,Null,60 
algorithms,stone-piles,Hard,Null,85 
algorithms,chocolate-game,Hard,Null,90 
algorithms,the-prime-game,Hard,Null,90 
algorithms,vertical-rooks,Medium,Null,90 
algorithms,half,Medium,Null,90 
algorithms,taste-of-win,Expert,Null,100 
algorithms,walking-the-approximate-longest-path,Hard,Null,70 
algorithms,sams-puzzle,Advanced,Null,85 
algorithms,spies-revised,Expert,Null,100 
algorithms,tbsp,Expert,Null,100 
algorithms,prime-date,Medium,Basic,40 
algorithms,minimum-operations,Medium,Intermediate,45 
algorithms,strings-xor,Easy,Basic,25 
algorithms,zig-zag-sequence,Medium,Basic,40 
algorithms,smart-number,Easy,Basic,25 
